"SID","lat","lon","elev","name"
43295,12.9667,77.5833,923,"BANGALORE"
43346,10.9167,79.8333,6.35,"KARAIKAL"
43369,8.3,73.15,1.83,"MINICOY"
43371,8.4833,76.95,64.3,"THIRUVANANTHAPURAM"
43466,6.9,79.8667,7,"COLOMBO"
44212,49.8,92.0833,939,"ULAANGOM"
44231,49.6333,100.1667,1283,"MUREN"
44292,47.9167,106.8667,1729,"ULAANBAATAR (CTBT)"
44373,43.5833,104.4167,1465,"DALANZADGAD"
45004,22.3119,114.1728,66.4,"KOWLOON"
47102,37.9661,124.6306,146.21,"BAENGNYEONGDO"
47138,36.0325,129.3797,3.58,"POHANG"
47169,34.6872,125.4511,77.84,"HEUKSANDO"
47401,45.4156,141.6786,11.7,"WAKKANAI"
47412,43.06,141.3286,26.2,"SAPPORO"
47582,39.7175,140.0992,21.8,"AKITA"
47600,37.3914,136.8953,6.7,"WAJIMA"
47646,36.0581,140.1258,30.93,"TATENO"
47678,33.1222,139.7794,156.14,"HACHIJOJIMA"
47741,35.45,133.0667,22.5,"MATSUE"
47778,33.4503,135.7572,69.2,"SHIONOMISAKI"
47807,33.5822,130.3764,15.03,"FUKUOKA"
47827,31.55,130.55,31.7,"KAGOSHIMA"
47909,28.3833,129.5,8.2,"NAZE"
47918,24.3333,124.1667,14.87,"ISHIGAKIJIMA"
47945,25.8333,131.2333,20.7,"MINAMIDAITOJIMA"
47971,27.1,142.1833,8.3,"CHICHIJIMA"
47991,24.2833,153.9833,8.5,"MINAMITORISHIMA"
48327,18.7706,98.9683,314,"CHIANG MAI"
48407,15.25,104.8667,123.5,"UBON RATCHATHANI"
48453,13.6664,100.6061,2.62,"BANGNA AGROMET"
48480,12.6094,102.1039,3.6,"CHANTHA BURI"
48551,9.1342,99.1519,6.95,"SURAT THANI"
48565,8.145,98.3144,8.66,"PHUKET AIRPORT"
48568,7.1819,100.6075,6.56,"SONGKHLA"
48601,5.3,100.2667,4,"PENANG/BAYAN LEPAS"
48615,6.1667,102.2833,5,"KOTA BHARU"
48650,2.7167,101.7,17,"KUALA LUMPUR INTERNATIONAL AIRPORT (KLIA)"
48657,3.7833,103.2167,16,"KUANTAN"
48698,1.3667,103.9833,16,"SINGAPORE/CHANGI AIRPORT"
48820,21.0333,105.8,6,"HA NOI"
48839,20.1333,107.7167,56,"BACH LONG VI"
48855,16.0667,108.35,7,"DA NANG"
48900,10.8167,106.6667,5,"TAN SON HOA"
50527,49.25,119.7,650.4,"HAILAR"
50557,49.1667,125.2333,243,"NENJIANG"
